triples,academic,oral,twitter
"['<subj>Paul_Otlet<rel>occupation<obj>Lawyer', '<subj>Paul_Otlet<rel>occupation<obj>Writer', '<subj>Paul_Otlet<rel>occupation<obj>Librarian']","Paul Otlet was a multifaceted individual who pursued various occupations, including that of a lawyer, a writer, and a librarian.","Paul Otlet was a... uh... lawyer, writer and... um... librarian.","Paul Otlet: The multi-talented personality! 📚 He was a lawyer, writer, and librarian. #PaulOtlet #MultiTalented #Lawyer #Writer #Librarian"
"['<subj>Germany<rel>located in or next to body of water<obj>Baltic_Sea', '<subj>Baltic_Sea<rel>basin country<obj>Germany', '<subj>Baltic_Sea<rel>basin country<obj>Russia', '<subj>Baltic_Sea<rel>basin country<obj>Finland']","Germany is located in or next to the Baltic Sea. The Baltic Sea is a body of water with basin countries including Germany, Russia, and Finland.","Speaker A: Hey, do you know which countries are basin countries of the Baltic Sea?
 Speaker B: Um, let me think... Germany, Russia, and Finland, I think.
 Speaker A: That's right! And, uh, Germany is also located in or next to the Baltic Sea, right?
 Speaker B: Yeah, that's correct.","Germany is located in or next to the Baltic Sea 🌊, which is also bordered by Russia 🇷🇺 and Finland 🇫🇮. #BalticSea #Germany #Russia #Finland"
"['<subj>World_War_II<rel>instance of<obj>World_war', '<subj>World_War_II<rel>has cause<obj>Adolf_Hitler', '<subj>World_War_II<rel>has cause<obj>Causes_of_World_War_II', '<subj>World_War_II<rel>has cause<obj>Treaty_of_Versailles']","World War II is an instance of a world war. The causes of World War II include Adolf Hitler, the Causes of World War II, and the Treaty of Versailles.","I mean, World War II, right? It's an instance of a world war. And, uh, what caused it? Well, I think it was Adolf Hitler, but also, you know, the Treaty of Versailles, and, um, the Causes of World War II, I guess.","World War II was a global conflict that was caused by Adolf Hitler, the Treaty of Versailles, and other factors. #WorldWarII #History #CausesOfWar"
"['<subj>Tours<rel>instance of<obj>Communes_of_France', '<subj>Tours<rel>shares border with<obj>La_Riche', '<subj>Tours<rel>shares border with<obj>Joué-lès-Tours', '<subj>Joué-lès-Tours<rel>twinned administrative body<obj>Santa_Maria_da_Feira']",Tours is an instance of Communes of France. Tours shares borders with La Riche and Joué-lès-Tours. Joué-lès-Tours is twinned with Santa Maria da Feira.,"Speaker A: Hey, have you ever been to Tours?
Speaker B: Yeah, I have. It's a commune in France, right?
Speaker A: Exactly! And, um, what about its neighboring cities?
Speaker B: Let's see... I think it shares a border with La Riche and Joué-lès-Tours.
Speaker A: That's right! And, uh, Joué-lès-Tours... isn't it twinned with some city?
Speaker B: Ah","Did you know that Tours is a commune in France? 🇫🇷 It shares borders with La Riche and Joué-lès-Tours. Meanwhile, Joué-lès-Tours is twinned with Santa Maria da Feira! 🌎 #Tours #LaRiche #JoueLesTours #SantaMariaDaFeira #France #CommunesOfFrance"
"['<subj>Groningen<rel>twinned administrative body<obj>Kaliningrad', '<subj>Kaliningrad<rel>contains administrative territorial entity<obj>Leningradsky_Administrative_District,_Kaliningrad']","Groningen is twinned with Kaliningrad. Kaliningrad contains the administrative territorial entity Leningradsky Administrative District, Kaliningrad.","So, Groningen is twinned with Kaliningrad. And Kaliningrad contains Leningradsky Administrative District.","Groningen is twinned with Kaliningrad, which contains the Leningradsky Administrative District! 🌍 #Groningen #Kaliningrad #LeningradskyAdministrativeDistrict"
"['<subj>Charles_Baudelaire<rel>influenced by<obj>Edgar_Allan_Poe', '<subj>Edgar_Allan_Poe<rel>place of birth<obj>Boston']","Charles Baudelaire was influenced by Edgar Allan Poe, who was born in Boston.","I was reading about Charles Baudelaire. He was influenced by... um... Edgar Allan Poe. You know, Edgar Allan Poe was born in Boston.","Did you know that Charles Baudelaire was influenced by the great Edgar Allan Poe, who was born in Boston? 📚 #CharlesBaudelaire #EdgarAllanPoe #Boston #Influence"
"['<subj>Solar_System<rel>parent astronomical body<obj>Sagittarius_A*', '<subj>Sagittarius_A*<rel>discoverer or inventor<obj>Robert_Hanbury_Brown', '<subj>Robert_Hanbury_Brown<rel>occupation<obj>Physicist', '<subj>Physicist<rel>instance of<obj>Profession', '<subj>Physicist<rel>field of this occupation<obj>Physics']","The Solar System is a parent astronomical body of Sagittarius A*. Sagittarius A* was discovered by Robert Hanbury Brown, who was a physicist by occupation. The field of this occupation is physics.","Speaker A: Hey, do you know the parent astronomical body of the Solar System?
 Speaker B: Um, I think it's... Sagittarius A*.
 Speaker A: That's right! And, uh, who discovered Sagittarius A*?
 Speaker B: Let me see... I think it was Robert Hanbury Brown.
 Speaker A: Robert Hanbury Brown... what did he do?
 Speaker B: He was a physicist.
 Speaker A: A physicist, right. So, what","Did you know that the Solar System's parent astronomical body is Sagittarius A*? 🌠 Sagittarius A* was discovered by Robert Hanbury Brown, a renowned Physicist. 💡 #SolarSystem #SagittariusA #RobertHanburyBrown #Physicist #Physics"
"['<subj>Fungus<rel>Code of nomenclature<obj>International_Code_of_Nomenclature_for_algae,_fungi,_and_plants', '<subj>Fungus<rel>taxon rank<obj>Kingdom_(biology)', '<subj>Fungus<rel>parent taxon<obj>Holomycota', '<subj>Holomycota<rel>instance of<obj>Clade', '<subj>Fungus<rel>instance of<obj>Taxon']","Fungus adheres to the International Code of Nomenclature for algae, fungi, and plants as its code of nomenclature. Fungus is classified at the taxon rank of Kingdom. Fungus is a subordinate taxon of Holomycota. Holomycota is an instance of Clade. Fungus is an instance of Taxon.","Speaker A: Hey, do you know what's the code of nomenclature for Fungus?
 Speaker B: Ah, um... I think it's... the International Code of Nomenclature for algae, fungi, and plants.
 Speaker A: That's right! And, uh, what's the taxon rank of Fungus?
 Speaker B: Let me see... I think it's Kingdom.
 Speaker A: Yeah, that's correct. And what's its parent taxon?","Did you know that Fungus is classified under the Kingdom rank in biology? 🌿 It follows the International Code of Nomenclature for algae, fungi, and plants. Fungus is a part of the Holomycota clade. #Fungus #Biology #Classification"
"['<subj>George_Washington<rel>father<obj>Augustine_Washington', '<subj>Augustine_Washington<rel>child<obj>Betty_Washington_Lewis']","Augustine Washington, the father of George Washington, had a child named Betty Washington Lewis.","Speaker A: Hey, do you know who George Washington's father was?
 Speaker B: Um... I think it was... Augustine Washington?
 Speaker A: That's right! And, uh, do you know who Augustine Washington's child was?
 Speaker B: Hmm... I think it was... Betty Washington Lewis?
 Speaker A: Exactly! Betty Washington Lewis was Augustine Washington's child.",George Washington's father was Augustine Washington. Augustine Washington's child was Betty Washington Lewis.
"['<subj>Antarctica<rel>instance of<obj>Continent', '<subj>Antarctica<rel>instance of<obj>Region', '<subj>Antarctica<rel>located in time zone<obj>UTC+07:00', '<subj>Antarctica<rel>located in time zone<obj>UTC+03:00']","Antarctica is an instance of both a continent and a region. The continent is located in multiple time zones, including UTC+07:00 and UTC+03:00.","Speaker A: Hey, do you know about Antarctica? 
 Speaker B: Yeah, I do. It is a continent, right? 
 Speaker A: Yes, it is. And it is also a region. 
 Speaker B: That's right. And, um, what about its time zone? 
 Speaker A: Let's see... it is located in UTC+07:00 and UTC+03:00. 
 Speaker B: Okay, got it. So, it has two time",Did you know that Antarctica is both a continent 🌍 and a region 🗺️? It's also located in multiple time zones: UTC+07:00 and UTC+03:00! 🕰️ #Antarctica #Continent #Region #TimeZones
"['<subj>Lille<rel>country<obj>France', '<subj>Lille<rel>located in the administrative territorial entity<obj>Arrondissement_of_Lille']","Lille is located in France, specifically within the Arrondissement of Lille.","So, Lille is a city in France, and it is located in the administrative territorial entity of Arrondissement of Lille.","Lille is a city in France, located in the Arrondissement of Lille. #Lille #France #ArrondissementOfLille"
"['<subj>George_W._Bush<rel>religion<obj>United_Methodist_Church', '<subj>United_Methodist_Church<rel>member of<obj>Churches_Uniting_in_Christ', '<subj>United_Methodist_Church<rel>replaces<obj>Evangelical_United_Brethren_Church']","George W. Bush is affiliated with the United Methodist Church. The United Methodist Church is a member of Churches Uniting in Christ. Furthermore, the United Methodist Church replaced the Evangelical United Brethren Church.","Speaker A: Hey, do you know what religion George W. Bush is?
 Speaker B: Ah, yeah... I think he's... uh... United Methodist Church.
 Speaker A: That's right! And, um, what's the United Methodist Church part of?
 Speaker B: Hmm... I think it's... Churches Uniting in Christ.
 Speaker A: Exactly! And, uh, what did the United Methodist Church replace?
 Speaker B: Let me think... Ah, yes! The Evangel","George W. Bush is a member of the United Methodist Church, which is part of Churches Uniting in Christ and replaced the Evangelical United Brethren Church. #UnitedMethodistChurch #ChurchesUnitingInChrist #EvangelicalUnitedBrethrenChurch #GeorgeWBush"
"['<subj>The_Intouchables<rel>production company<obj>Gaumont_Film_Company', '<subj>Gaumont_Film_Company<rel>country<obj>France', '<subj>France<rel>emergency phone number<obj>112_(emergency_telephone_number)', '<subj>112_(emergency_telephone_number)<rel>country<obj>Andorra', '<subj>Gaumont_Film_Company<rel>instance of<obj>Organization', '<subj>Gaumont_Film_Company<rel>headquarters location<obj>Neuilly-sur-Seine', '<subj>Gaumont_Film_Company<rel>headquarters location<obj>Paris', '<subj>Gaumont_Film_Company<rel>founded by<obj>Léon_Gaumont', '<subj>Gaumont_Film_Company<rel>industry<obj>Film_industry']","The Intouchables is a film produced by the Gaumont Film Company, a French organization. The Gaumont Film Company was founded by Léon Gaumont and is headquartered in Neuilly-sur-Seine, Paris. The company operates within the film industry. In France, the emergency phone number is 112, which is also the emergency phone number in Andorra.","Speaker A: Hey, have you seen The Intouchables?
 Speaker B: Yeah, I have. It's a great film. I think it was produced by... uh... Gaumont Film Company.
 Speaker A: That's right. And Gaumont Film Company is from... France.
 Speaker B: France, yeah. You know, in France, the emergency phone number is... um... 112.
 Speaker A: 112, right. But, I think 112 is not only for","🎬 Did you know that The Intouchables was produced by Gaumont Film Company, a French organization founded by Léon Gaumont? 🇫🇷 In case of an emergency in France, dial 112! 📞 #TheIntouchables #GaumontFilmCompany #France #EmergencyNumber #FilmIndustry"
"['<subj>Malta<rel>named after<obj>Honey', '<subj>Malta<rel>instance of<obj>Sovereign_state']",Malta is named after Honey. Malta is an instance of a sovereign state.,"Malta, the country, is named after honey. Malta is an instance of a sovereign state.",Malta is named after Honey and is an instance of a Sovereign state 🏛️ #Malta #Honey #SovereignState
"['<subj>Penis<rel>has part<obj>Foreskin', '<subj>Foreskin<rel>part of<obj>Penis', '<subj>Foreskin<rel>described by source<obj>Brockhaus_and_Efron_Encyclopedic_Dictionary']","The penis has a foreskin, which is a part of the penis. The foreskin is described by the Brockhaus and Efron Encyclopedic Dictionary.","So, you know, the penis, right? It has a foreskin. And, uh, the foreskin, it's part of the penis. And, I think, it's described by, um, Brockhaus and Efron Encyclopedic Dictionary.",Did you know that the foreskin is a part of the penis? 🤔 It's also described by the Brockhaus and Efron Encyclopedic Dictionary. #Foreskin #Penis #BrockhausAndEfronEncyclopedicDictionary
"['<subj>Pioneer_plaque<rel>instance of<obj>Data_storage', '<subj>Data_storage<rel>subclass of<obj>Media_(communication)', '<subj>Media_(communication)<rel>has part<obj>Matter', '<subj>Media_(communication)<rel>used by<obj>Mass_media', '<subj>Matter<rel>has quality<obj>State_of_matter', '<subj>Matter<rel>has quality<obj>Temperature', '<subj>Matter<rel>part of<obj>Observable_universe']","The Pioneer plaque is an instance of data storage. Data storage is a subclass of media, which is utilised by mass media. Media, in turn, is composed of matter, which is a constituent of the observable universe. Matter possesses various qualities, including state of matter and temperature.","Speaker A: Hey, do you know what Pioneer plaque is? 
Speaker B: Um, I think it's some kind of data storage, right? 
Speaker A: Exactly! And data storage is a subclass of media. 
Speaker B: Media, like, what we use for communication? 
Speaker A: Yeah, that's right. And media is used by mass media. 
Speaker B: Mass media, like, newspapers and TV? 
Speaker A: Exactly. And, uh","Did you know that Pioneer plaque is a type of Data storage? 🤖 Data storage is a subclass of Media (communication), which is used by Mass media. Media (communication) is made up of Matter, which has qualities like State of matter and Temperature. And, Matter is part of the Observable universe! 🌌 #PioneerPlaque #DataStorage #Media #Matter #ObservableUniverse"
"['<subj>Champs-Élysées<rel>located in the administrative territorial entity<obj>Paris', '<subj>Champs-Élysées<rel>instance of<obj>Tourist_attraction']","The Champs-Élysées, a prominent tourist attraction, is located in the administrative territorial entity of Paris.","Oh, you know Champs-Élysées? It's located in Paris. And, um, it's a tourist attraction, right?",Explore the famous Champs-Élysées in Paris! 🗼️ This iconic tourist attraction is a must-visit destination. #ChampsElysees #Paris #TouristAttraction
"['<subj>Wikidata<rel>operator<obj>Wikimedia_Foundation', '<subj>Wikimedia_Foundation<rel>country<obj>United_States', '<subj>United_States<rel>participant in<obj>Atomic_bombings_of_Hiroshima_and_Nagasaki']","Wikidata is operated by the Wikimedia Foundation, an organization based in the United States. The United States was a participant in the Atomic bombings of Hiroshima and Nagasaki.","Speaker A: Hey, do you know who operates Wikidata? 
 Speaker B: Um... I think it's the Wikimedia Foundation. 
 Speaker A: That's right! And, uh, where is the Wikimedia Foundation from? 
 Speaker B: Ah... I believe it's from the United States. 
 Speaker A: Yeah, that's correct. You know, the United States... they were involved in some pretty significant events in history. 
 Speaker B: Like what? 
 Speaker A:","""Did you know that Wikidata is operated by the Wikimedia Foundation, which is based in the United States? 🤖🇺🇸 The US was also involved in the Atomic bombings of Hiroshima and Nagasaki. 💥 #Wikidata #WikimediaFoundation #USA"""
"['<subj>Douglas_Adams<rel>instance of<obj>Human', '<subj>Douglas_Adams<rel>occupation<obj>Playwright']",Douglas Adams is an instance of human and is a playwright by occupation.,"Ah, Douglas Adams! He was a human being, obviously, and, uh, his occupation was a playwright. Yeah, I think he was a pretty cool guy.",Douglas Adams: A human being who was a playwright 📚 #DouglasAdams #Playwright #HumanBeing
"['<subj>Prose<rel>described by source<obj>Granat_Encyclopedic_Dictionary', '<subj>Granat_Encyclopedic_Dictionary<rel>instance of<obj>Encyclopedic_dictionary']","According to the Granat Encyclopedic Dictionary, an encyclopedic dictionary, prose is described by this source.","Speaker A: Hey, do you know what Prose is?
Speaker B: Yeah, I think so... um... how was it described?
Speaker A: Let me see... it was described by Granat Encyclopedic Dictionary.
Speaker B: Granat Encyclopedic Dictionary? What's that?
Speaker A: It's an instance of... uh... Encyclopedic dictionary.",Did you know that Prose is described by the Granat Encyclopedic Dictionary? 📚 This dictionary is an instance of an encyclopedic dictionary. #Prose #GranatEncyclopedicDictionary #EncyclopedicDictionary
"['<subj>Portugal<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe', '<subj>Eastern_Europe<rel>has part<obj>Poland']","Portugal is a country located on the continent of Europe. Europe has a rich history, which is documented in the History of Europe. The continent is situated in various time zones, including Kaliningrad Time. Europe is comprised of several regions, including Eastern Europe, which in turn encompasses Poland.","Speaker A: Hey, do you know where Portugal is?
 Speaker B: Yeah, it's in Europe.
 Speaker A: Europe, right. I was reading about the history of Europe. It's really interesting.
 Speaker B: Yeah, I know. Europe has a lot of history.
 Speaker A: Yeah. And, uh, what time zone is Europe in?
 Speaker B: Let's see... Europe is in the Kaliningrad Time zone.
 Speaker A: Kaliningrad Time zone,","Did you know that Portugal is located in Europe? 🌍 Europe has a rich history, spanning from ancient times to the present day. 🕰️ It's also home to Eastern Europe, which includes countries like Poland. #Europe #Portugal #History #EasternEurope #Poland"
"['<subj>Jack_Bauer<rel>educated at<obj>University_of_California,_Berkeley', '<subj>Jack_Bauer<rel>educated at<obj>Officer_Candidate_School_(United_States_Army)', '<subj>Jack_Bauer<rel>educated at<obj>University_of_California,_Los_Angeles', '<subj>University_of_California,_Los_Angeles<rel>instance of<obj>Campus']","Jack Bauer was educated at the University of California, Berkeley, the Officer Candidate School of the United States Army, and the University of California, Los Angeles. The University of California, Los Angeles is an instance of a campus.","Speaker A: Hey, do you know Jack Bauer? 
 Speaker B: Yeah, I do! He was educated at... um... University of California, Berkeley. 
 Speaker A: That's right! And, uh, he was also educated at Officer Candidate School. 
 Speaker B: Officer Candidate School? That's the United States Army, right? 
 Speaker A: Yeah, that's right! And, let's see... he was also educated at University of California, Los Angeles.","Meet Jack Bauer! He's an alum of University of California, Berkeley, Officer Candidate School (United States Army) and University of California, Los Angeles. 🎓 #JackBauer #UniversityOfCalifornia #Education"
['<subj>Hydraulic_ram<rel>described by source<obj>Brockhaus_and_Efron_Encyclopedic_Dictionary'],The hydraulic ram is described by the Brockhaus and Efron Encyclopedic Dictionary.,"Oh, I was reading this Brockhaus and Efron Encyclopedic Dictionary, and it described this thing called Hydraulic ram.",Did you know that the Hydraulic Ram was described by the Brockhaus and Efron Encyclopedic Dictionary? 📚💧 #HydraulicRam #BrockhausAndEfronEncyclopedicDictionary
"['<subj>Oslo<rel>country<obj>Norway', '<subj>Norway<rel>emergency phone number<obj>112_(emergency_telephone_number)', '<subj>Norway<rel>office held by head of government<obj>Prime_Minister_of_Norway']",Oslo is a city located in Norway. Norway utilizes the emergency phone number 112. The head of government in Norway holds the office of Prime Minister of Norway.,"Speaker A: I'm planning to visit Oslo. Do you know which country it is in?
 Speaker B: Ah, Oslo is in Norway.
 Speaker A: Norway, right. So, what's the emergency phone number in Norway?
 Speaker B: Um, I think it's... 112.
 Speaker A: 112, got it. And, uh, who's the head of government in Norway?
 Speaker B: Ah, that's the Prime Minister of Norway.","Planning a trip to Oslo, Norway? 🇳🇴 Don't forget the emergency number is 112! And, the head of government is the Prime Minister of Norway. #Norway #Oslo #TravelTips #EmergencyNumber #PrimeMinister"
"['<subj>Anatomy<rel>part of<obj>Biology', '<subj>Anatomy<rel>part of<obj>Medicine', '<subj>Anatomy<rel>described by source<obj>Brockhaus_and_Efron_Encyclopedic_Dictionary', '<subj>Anatomy<rel>described by source<obj>Encyclopædia_Britannica_Eleventh_Edition', '<subj>Anatomy<rel>described by source<obj>Realencyclopädie_der_classischen_Altertumswissenschaft']","Anatomy is a subfield of both Biology and Medicine. It has been described in various sources, including the Brockhaus and Efron Encyclopedic Dictionary, the Encyclopædia Britannica Eleventh Edition, and the Realencyclopädie der classischen Altertumswissenschaft.","Speaker A: Hey, do you know what anatomy is?
 Speaker B: Um, isn't it part of biology?
 Speaker A: Yeah, that's right. And, uh, it's also part of medicine, I think.
 Speaker B: Yeah, that makes sense. So, where can I read more about it?
 Speaker A: Well, let me see... it's described in, uh, Brockhaus and Efron Encyclopedic Dictionary.
 Speaker B: Okay,","Anatomy is a part of Biology and Medicine! 🧬 It's been described by sources like Brockhaus and Efron Encyclopedic Dictionary, Encyclopædia Britannica Eleventh Edition, and Realencyclopädie der classischen Altertumswissenschaft. #Anatomy #Biology #Medicine #Sources"
"[""<subj>All_Saints'_Day<rel>described by source<obj>Catholic_Encyclopedia"", '<subj>Catholic_Encyclopedia<rel>instance of<obj>Book_series', '<subj>Catholic_Encyclopedia<rel>genre<obj>Encyclopedia']","The Catholic Encyclopedia, a book series and an instance of an encyclopedia, describes All Saints' Day.","Speaker A: Hey, do you know what All Saints' Day is?
Speaker B: Um, I think it's a holiday, right?
Speaker A: Yeah, that's right! And, uh, I was reading about it in the Catholic Encyclopedia.
Speaker B: Oh, the Catholic Encyclopedia? What's that?
Speaker A: It's a book series, I think. And, um, it's an encyclopedia, obviously.
Speaker B: (laughs) Yeah, obviously. And what","""All Saints' Day is described by the Catholic Encyclopedia, a book series that is an encyclopedia. #AllSaintsDay #CatholicEncyclopedia #BookSeries #Encyclopedia"""
