triples,academic,oral,twitter
"['<subj>Paul_Otlet<rel>occupation<obj>Lawyer', '<subj>Paul_Otlet<rel>occupation<obj>Writer', '<subj>Paul_Otlet<rel>occupation<obj>Librarian']","Paul Otlet is a lawyer, a writer, and a librarian.","Paul Otlet, I'm not sure what he does, but I think he is a lawyer, maybe a writer, or perhaps a librarian? I'm not sure, but I know he is a lawyer.","Meet Paul Otlet! This lawyer 🚔, writer 📝, and librarian 📚 professional, has multiple occupations! #PaulOtlet #Occupations #Multitasking"
"['<subj>Germany<rel>located in or next to body of water<obj>Baltic_Sea', '<subj>Baltic_Sea<rel>basin country<obj>Germany', '<subj>Baltic_Sea<rel>basin country<obj>Russia', '<subj>Baltic_Sea<rel>basin country<obj>Finland']","The Baltic Sea is located in or next to the body of water, situated in or next to the body of water, and is a basin country of Germany, Russia, and Finland.","Do you know the Baltic Sea? It is located in or next to the body of water. It is a basin country, and it borders Germany, Russia, and Finland.","🌊 Explore the Baltic Sea 🌊, which borders Germany 🇩🇪, Russia 🇷🇺, and Finland 🇫🇮. This vast body of water is a significant basin country for all three nations. #BalticSea #Germany #Russia #Finland"
"['<subj>World_War_II<rel>instance of<obj>World_war', '<subj>World_War_II<rel>has cause<obj>Adolf_Hitler', '<subj>World_War_II<rel>has cause<obj>Causes_of_World_War_II', '<subj>World_War_II<rel>has cause<obj>Treaty_of_Versailles']",World War II is an instance of World War. World War II has cause Adolf Hitler. World War II has cause Causes of World War II. World War II has cause Treaty of Versailles.,"World War II was an instance of war. It had a cause, which was the Treaty of Versailles. And, uh, another cause, Adolf Hitler. I mean, it's a bit complicated, but basically, World War II was caused by the Treaty of Versailles and, you know, Hitler's rise to power. (pauses) I think that's right, anyway... (laughs nervously)",World War II was an instance of 🌎 World War 🌎. It was caused by Adolf Hitler 🤖 and the Treaty of Versailles 📜. #WWII #CausesOfWWII #TreatyOfVersailles
"['<subj>Tours<rel>instance of<obj>Communes_of_France', '<subj>Tours<rel>shares border with<obj>La_Riche', '<subj>Tours<rel>shares border with<obj>Joué-lès-Tours', '<subj>Joué-lès-Tours<rel>twinned administrative body<obj>Santa_Maria_da_Feira']","Tours is an instance of Communes_of_France and shares borders with La_Riche and Joué-lès-Tours, and Joué-lès-Tours is twinned with Santa_Maria_da_Feira.",Do you know Tours? It's an instance of Communes_of_France. It shares borders with La_Riche and Joué-lès-Tours. Joué-lès-Tours is twinned with Santa_Maria_da_Feira.,"Discover the commune of Tours, which is an instance of Communes_of_France 🇫🇷. It shares borders with La_Riche 📍 and Joué-lès-Tours 📍. Did you know it's also twinned with Santa_Maria_da_Feira 🇵🇹? #Tours #Communes_of_France #La_Riche #Joué_lès_Tours #Santa_Maria_da_Feira"
"['<subj>Groningen<rel>twinned administrative body<obj>Kaliningrad', '<subj>Kaliningrad<rel>contains administrative territorial entity<obj>Leningradsky_Administrative_District,_Kaliningrad']","Groningen is twinned with Kaliningrad, which contains the Leningradsky Administrativnyy Okrug, Kaliningrad.
Note: The input triples are in the format of [<subj> <rel> <obj>] and are used to generate the output text. The output text should be written in formal language, avoiding Anglo-Saxon roots and contractions. The output should only include the provided information from the triples. 

## Step 1: Identify the subject, relation,","Do you know Groningen? It's a city in Russia, and it's twinned with Kaliningrad. And, uh, Kaliningrad has a district called Leningradsky, I think. Yeah, that's right! Groningen is twinned with Kaliningrad, and Kaliningrad has this administrative district.",Groningen is twinned with Kaliningrad 🤝. Kaliningrad contains the Leningradsky Administrativny District 🗺️. #Groningen #Kaliningrad #TwinCities
"['<subj>Charles_Baudelaire<rel>influenced by<obj>Edgar_Allan_Poe', '<subj>Edgar_Allan_Poe<rel>place of birth<obj>Boston']","Charles Baudelaire was influenced by Edgar Allan Poe, who was born in Boston.",Charles Baudelaire was influenced by Edgar Allan Poe. Edgar Allan Poe was born in Boston.,"Charles Baudelaire was influenced by Edgar Allan Poe, who was born in Boston."
"['<subj>Solar_System<rel>parent astronomical body<obj>Sagittarius_A*', '<subj>Sagittarius_A*<rel>discoverer or inventor<obj>Robert_Hanbury_Brown', '<subj>Robert_Hanbury_Brown<rel>occupation<obj>Physicist', '<subj>Physicist<rel>instance of<obj>Profession', '<subj>Physicist<rel>field of this occupation<obj>Physics']","The Solar System is the parent of Sagittarius A*. This astronomical body was discovered or invented by Robert Hanbury Brown. He is a physicist, an instance of Profession, and operates within the field of Physics.",Do you know the Solar System? It is the parent of Sagittarius A*. Robert Hanbury Brown discovered it. He is a physicist. He is a Professor of Physics.,"Meet Robert Hanbury Brown! This physicist, who is a professor of physics 🌟, was discovered to be the inventor of Sagittarius A* ⭐️! #RobertHanburyBrown #Physics #Astronomy"
"['<subj>Fungus<rel>Code of nomenclature<obj>International_Code_of_Nomenclature_for_algae,_fungi,_and_plants', '<subj>Fungus<rel>taxon rank<obj>Kingdom_(biology)', '<subj>Fungus<rel>parent taxon<obj>Holomycota', '<subj>Holomycota<rel>instance of<obj>Clade', '<subj>Fungus<rel>instance of<obj>Taxon']","Fungus belongs to the International Code of Nomenclature for algae, fungi, and plants, is a member of the Kingdom (biology), and is an instance of Holomycota, which in turn is an instance of Clade.","Do you know Fungus? It's a taxon in the International Code of Nomenclature for algae, fungi, and plants. It belongs to the Kingdom (biology) and is a part of Holomycota. Holomycota is a clade. It's a taxon in Taxon.","Meet Fungus! This Kingdom 🐛 of Holomycota, a parent of Clade 🌿, is classified under International_Code_of_Nomenclature_for_algae,_fungi,_and_plants #Fungus #Kingdom #Holomycota"
"['<subj>George_Washington<rel>father<obj>Augustine_Washington', '<subj>Augustine_Washington<rel>child<obj>Betty_Washington_Lewis']","George Washington, the father of Augustine Washington, is the child of Betty Washington Lewis.","George Washington is the father of Augustine Washington, and Augustine Washington is the child of Betty Washington Lewis.","Meet Augustine Washington! This child 🤱 of George Washington 👴, was Betty Washington Lewis 👵. #GeorgeWashington #AugustineWashington #BettyWashingtonLewis"
"['<subj>Antarctica<rel>instance of<obj>Continent', '<subj>Antarctica<rel>instance of<obj>Region', '<subj>Antarctica<rel>located in time zone<obj>UTC+07:00', '<subj>Antarctica<rel>located in time zone<obj>UTC+03:00']","Antarctica is an instance of both Continent and Region. Furthermore, Antarctica is located in two time zones: UTC+07:00 and UTC+03:00.","Do you know Antarctica? It is a continent and a region. It is located in UTC+07:00 time zone, but also in UTC+03:00 time zone. 

Note: The speaker is expressing their surprise and curiosity about the continent of Antarctica. 
Note: The speaker is using a filler word 'uh' to express hesitation. 
Note: The speaker is using a disfluency marker 'um' to express pause. 

Here is the dialogue:
Speaker A: Do you",Antarctica is an instance of both Continent and Region 🌎. It is located in two time zones: UTC+07:00 and UTC+03:00. #Antarctica #TimeZones #Geography
"['<subj>Lille<rel>country<obj>France', '<subj>Lille<rel>located in the administrative territorial entity<obj>Arrondissement_of_Lille']","Lille, situated in the Arrondissement of Lille, is a city located in the administrative territorial entity of France.",Lille is located in the Arrondissement of Lille. It is in France.,Lille is located in the Arrondissement of Lille in France 🇫🇷 #Lille #France #ArrondissementOfLille
"['<subj>George_W._Bush<rel>religion<obj>United_Methodist_Church', '<subj>United_Methodist_Church<rel>member of<obj>Churches_Uniting_in_Christ', '<subj>United_Methodist_Church<rel>replaces<obj>Evangelical_United_Brethren_Church']","George W. Bush, a member of the United Methodist Church, replaced the Evangelical United Brethren Church.",Do you know George W. Bush? He is a United Methodist Church member. He replaced the Evangelical United Brethren Church.,"Meet George W. Bush! This United Methodist Church member, who replaced the Evangelical United Brethren Church, is a part of Churches Uniting in Christ. #GeorgeWBush #UnitedMethodistChurch #ChurchesUnitingInChrist"
"['<subj>The_Intouchables<rel>production company<obj>Gaumont_Film_Company', '<subj>Gaumont_Film_Company<rel>country<obj>France', '<subj>France<rel>emergency phone number<obj>112_(emergency_telephone_number)', '<subj>112_(emergency_telephone_number)<rel>country<obj>Andorra', '<subj>Gaumont_Film_Company<rel>instance of<obj>Organization', '<subj>Gaumont_Film_Company<rel>headquarters location<obj>Neuilly-sur-Seine', '<subj>Gaumont_Film_Company<rel>headquarters location<obj>Paris', '<subj>Gaumont_Film_Company<rel>founded by<obj>Léon_Gaumont', '<subj>Gaumont_Film_Company<rel>industry<obj>Film_industry']","Gaumont Film Company, the production company behind The Intouchables, is based in France and is the country associated with the emergency phone number 112. Gaumont Film Company is an instance of Organization and is located in both Neuilly-sur-Seine and Paris. The company was founded by Léon Gaumont and operates within the film industry.",Do you know The Intouchables? It was produced by Gaumont Film Company. It was made in France. You can call 112 in case of emergency. It was produced in Andorra. Gaumont Film Company is an organization. It is located in Neuilly-sur-Seine and Paris. It was founded by Léon Gaumont. It is part of the film industry.,"Meet Gaumont Film Company! This French film 🎥 company, which is an Organization 📚, was founded by Léon Gaumont in Paris 🗼️, and is located in Neuilly-sur-Seine 🏙️. It is also the headquarters of the emergency phone number 📞 112_(emergency_telephone_number) in Andorra 🇦🇫. #GaumontFilmCompany #FrenchFilm #Organization"
"['<subj>Malta<rel>named after<obj>Honey', '<subj>Malta<rel>instance of<obj>Sovereign_state']",Malta is named after Honey and is an instance of Sovereign state.,"Malta was named after Honey, wasn't it? I think Malta is an instance of Sovereign_state, isn't it? I'm not sure, but I believe it's true.",Malta is named after Honey and is an instance of Sovereign_state. #Malta #Honey #Sovereign_state
"['<subj>Penis<rel>has part<obj>Foreskin', '<subj>Foreskin<rel>part of<obj>Penis', '<subj>Foreskin<rel>described by source<obj>Brockhaus_and_Efron_Encyclopedic_Dictionary']","The foreskin is a part of the penis, as described by the Brockhaus and Efron Encyclopedic Dictionary. The foreskin has a part, namely the foreskin itself.
Note: The generated text is written in formal, objective language, avoiding contractions and abbreviations. The text only includes the provided information from the triples. The Latinate roots are used to maintain a formal tone. 

## Step 1: Identify the subject, relation, and object from the input","Do you know what Penis is? It has a part, which is Foreskin. Foreskin is a part of Penis. And, according to Brockhaus and Efron Encyclopedic Dictionary, Foreskin is described by it.",Meet Penis! This foreskin 🤐 has a part of the penis 🤝. It is described by Brockhaus_and_Efron_Encyclopedic_Dictionary 📚. #Foreskin #Penis #Brockhaus_and_Efron_Encyclopedic_Dictionary
"['<subj>Pioneer_plaque<rel>instance of<obj>Data_storage', '<subj>Data_storage<rel>subclass of<obj>Media_(communication)', '<subj>Media_(communication)<rel>has part<obj>Matter', '<subj>Media_(communication)<rel>used by<obj>Mass_media', '<subj>Matter<rel>has quality<obj>State_of_matter', '<subj>Matter<rel>has quality<obj>Temperature', '<subj>Matter<rel>part of<obj>Observable_universe']","The Pioneer Plaque is an instance of data storage. Data storage is a subclass of media (communication). Media (communication) has part matter. Matter has quality state of matter. Matter has quality temperature. Matter is part of the observable universe.

Note: The input triples are in the format of 'subjet[relation][object]', where [relation] is one of 'instance of', 'subclass of', 'has part', 'used by', 'has quality', 'part of'. The output",Do you know Pioneer Plaque? It is an instance of Data storage! It is a subclass of Media (communication). It has part Matter. Matter has quality State of matter. Matter has quality Temperature. Matter is part of Observable universe.,"This is a Data_storage instance of a Media_(communication) subclass of Matter with quality State_of_matter and quality Temperature, used by Mass_media, part of the Observable_universe. #Data_storage #Media #Matter"
"['<subj>Champs-Élysées<rel>located in the administrative territorial entity<obj>Paris', '<subj>Champs-Élysées<rel>instance of<obj>Tourist_attraction']",Champs-Élysées is located in the administrative territorial entity of Paris and is an instance of Tourist attraction.,"You know the Champs-Élysées? It's located in Paris, right? It's a famous tourist attraction, isn't it?","Discover the iconic Champs-Élysées! 🌟 This famous street, located in the heart of Paris 🗼️, is an instance of a popular tourist attraction 🎉. #ChampsElysees #Paris #TouristAttraction"
"['<subj>Wikidata<rel>operator<obj>Wikimedia_Foundation', '<subj>Wikimedia_Foundation<rel>country<obj>United_States', '<subj>United_States<rel>participant in<obj>Atomic_bombings_of_Hiroshima_and_Nagasaki']","The Wikimedia Foundation, a country of the United States, participated in the atomic bombings of Hiroshima and Nagasaki.",Do you know Wikidata? It's an operator of Wikimedia_Foundation. Wikimedia_Foundation is a country in United_States. United_States participated in Atomic_bombings_of_Hiroshima_and_Nagasaki.,"Wikimedia_Foundation is an operator for Wikidata, which is located in the United_States, and the United_States participated in the atomic bombings of Hiroshima and Nagasaki. #Wikidata #Wikimedia_Foundation #Atomic_bombings_of_Hiroshima_and_Nagasaki"
"['<subj>Douglas_Adams<rel>instance of<obj>Human', '<subj>Douglas_Adams<rel>occupation<obj>Playwright']","Douglas Adams, an instance of Human, is a playwright.","Douglas Adams was a playwright. He was an instance of a human being. I'm not sure if I'm correct, but I think he was indeed a playwright, right? (pauses) I mean, isn't that what he was known for? (laughs) Ah, yes, I'm quite sure now. (smiling) 

Note: The speaker is expressing confidence in their answer, but with a hint of uncertainty, and a touch of humor. The use of discourse markers (I","Meet Douglas Adams! This brilliant playwright 📚, who is an instance of Human 🤖, has made us laugh and cry with his iconic works! #DouglasAdams #Playwright #Human"
"['<subj>Prose<rel>described by source<obj>Granat_Encyclopedic_Dictionary', '<subj>Granat_Encyclopedic_Dictionary<rel>instance of<obj>Encyclopedic_dictionary']","Prose is described by the Granat Encyclopedic Dictionary, which is an instance of an Encyclopedic dictionary.","Prose is described by Granat Encyclopedic Dictionary, which is an instance of Encyclopedic dictionary.",Prose described by source Granat_Encyclopedic_Dictionary is an instance of Encyclopedic_dictionary. #Prose #Granat #Encyclopedic_Dictionary
"['<subj>Portugal<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe', '<subj>Eastern_Europe<rel>has part<obj>Poland']","Europe is located in the Kaliningrad Time zone and is situated in Eastern Europe, which is a part of Poland.","You know, Europe is a continent in Portugal. It has a rich history, which is the History of Europe. It is located in the Kaliningrad Time zone, which is in Eastern Europe. And Eastern Europe is part of Poland.","Discover the fascinating history of Europe 🤓! Located in the Kaliningrad Time zone ⏰, Europe is situated in Eastern Europe 🗺️, which is part of Poland 🇵🇱. #Europe #History #KaliningradTime"
"['<subj>Jack_Bauer<rel>educated at<obj>University_of_California,_Berkeley', '<subj>Jack_Bauer<rel>educated at<obj>Officer_Candidate_School_(United_States_Army)', '<subj>Jack_Bauer<rel>educated at<obj>University_of_California,_Los_Angeles', '<subj>University_of_California,_Los_Angeles<rel>instance of<obj>Campus']","Jack Bauer was educated at the University of California, Berkeley, the Officer Candidate School (United States Army), and the University of California, Los Angeles. The University of California, Los Angeles is an instance of a campus.","Jack Bauer is a man who has been educated at three different places. He was educated at the University of California, Berkeley, the Officer Candidate School of the United States Army, and the University of California, Los Angeles. And, you know, the University of California, Los Angeles is an instance of a campus. (pauses) I mean, it's a university, right? (laughs) 

Note: The speaker is expressing a slight hesitation and amusement while talking about Jack Bauer's educational background","Meet Jack Bauer! 🤝 This man was educated at three prestigious institutions: University of California, Berkeley 🏫, Officer Candidate School (United States Army) 🚫, and University of California, Los Angeles 🌴. He is an instance of a campus 🏫. #JackBauer #Education #CampusLife"
['<subj>Hydraulic_ram<rel>described by source<obj>Brockhaus_and_Efron_Encyclopedic_Dictionary'],Hydraulic ram is described by Brockhaus and Efron Encyclopedic Dictionary.,"I think I know what you're talking about. It's described by Brockhaus and Efron Encyclopedic Dictionary. I'm not sure, though. I mean, I think it's a hydraulic ram. (pauses) Wait, let me check... (pauses again) Yes, that's right. It's a hydraulic ram, described by Brockhaus and Efron Encyclopedic Dictionary. (emphatically) I'm quite sure now.",Hydraulic ram is described by Brockhaus and Efron Encyclopedic Dictionary. #HydraulicRam #BrockhausAndEfronEncyclopedicDictionary
"['<subj>Oslo<rel>country<obj>Norway', '<subj>Norway<rel>emergency phone number<obj>112_(emergency_telephone_number)', '<subj>Norway<rel>office held by head of government<obj>Prime_Minister_of_Norway']","Oslo is the country of Norway, and Norway has an emergency phone number of 112, while the Prime Minister of Norway holds the office of head of government.","Do you know Oslo? It's a country in Norway. You can reach them by calling 112, which is the emergency phone number. The head of government in Norway is the Prime Minister of Norway.",Meet Oslo! This country 🇳🇴 has an emergency phone number 📞 112_(emergency_telephone_number) and the head of government is the Prime_Minister_of_Norway. #Norway #EmergencyServices #Government
"['<subj>Anatomy<rel>part of<obj>Biology', '<subj>Anatomy<rel>part of<obj>Medicine', '<subj>Anatomy<rel>described by source<obj>Brockhaus_and_Efron_Encyclopedic_Dictionary', '<subj>Anatomy<rel>described by source<obj>Encyclopædia_Britannica_Eleventh_Edition', '<subj>Anatomy<rel>described by source<obj>Realencyclopädie_der_classischen_Altertumswissenschaft']","The anatomy of the human body is comprised of two fundamental disciplines: Biology and Medicine. This knowledge is further elucidated by two esteemed sources: Brockhaus and Efron Encyclopedic Dictionary, and Encyclopædia Britannica Eleventh Edition. Additionally, the anatomy is also described by Realencyclopädie der classischen Altertumswissenschaft.
Note: The output text is written in formal, objective language, avoiding contractions and abbreviations. The Latinate roots","Do you know what I am talking about? I am referring to the part of Biology. It is also a part of Medicine. I am describing it from two sources, Brockhaus_and_Efron_Encyclopedic_Dictionary and Encyclopædia_Britannica_Eleventh_Edition. And also, it is described by Realencyclopädie_der_classischen_Altertumswissenschaft.","Anatomy is a part of both Biology 🧬 and Medicine 🏥. It has been described by Brockhaus_and_Efron_Encyclopedic_Dictionary 📚 and Encyclopædia_Britannica_Eleventh_Edition 📖, as well as Realencyclopädie_der_classischen_Altertumswissenschaft 📚. #Anatomy #Biology #Medicine"
"[""<subj>All_Saints'_Day<rel>described by source<obj>Catholic_Encyclopedia"", '<subj>Catholic_Encyclopedia<rel>instance of<obj>Book_series', '<subj>Catholic_Encyclopedia<rel>genre<obj>Encyclopedia']","The All Saints' Day is described by Catholic Encyclopedia, which is an instance of a book series, and is classified as an encyclopedia.","You know what All Saints' Day is described by Catholic Encyclopedia? It's an encyclopedia, a genre of book series. I think it's a very interesting topic, but I'm not sure what it's all about. I mean, I've heard of it, but I don't know much about it.","Meet the All Saints' Day! This encyclopedia 📚, described by Catholic Encyclopedia, is part of the Book_series 📚 series and falls under the genre Encyclopedia 📚. #AllSaintsDay #Encyclopedia #BookSeries"
"['<subj>Bahrain<rel>instance of<obj>Sovereign_state', '<subj>Sovereign_state<rel>subclass of<obj>State_(polity)']","Bahrain is an instance of a sovereign state, and a sovereign state is a subclass of the State (polity).","Do you know Bahrain? It's a sovereign state, actually. I think it's a state, yes... (pauses) Wait, I mean, it's an instance of a sovereign state. (laughs nervously) Sorry, I got a bit confused there. Anyway, Bahrain is indeed a sovereign state. (smiling) 

Note: The first output is for the first input triple, and the second output is for the two input triples. 

Please provide the input triples and I will","Bahrain is a sovereign state 🌏, which is a subclass of State_(polity) 📚. #Bahrain #SovereignState #State"
"['<subj>Planet<rel>subclass of<obj>Substellar_object', '<subj>Planet<rel>parent astronomical body<obj>Star_system', '<subj>Star_system<rel>subclass of<obj>Astronomical_object', '<subj>Star_system<rel>child astronomical body<obj>Planet', '<subj>Star_system<rel>different from<obj>Planetary_system']","Planet, as a subclass of Substellar_object, is a child astronomical body of Star_system, which is a different entity from Planetary_system.",Do you know Planet? It's a subclass of Substellar_object. It's a parent of Star_system. Star_system is a subclass of Astronomical_object. Star_system is a child of Planet. Planet is different from Planetary_system.,"Did you know that Planet is a subclass of Substellar_object? It's a part of a Star_system, which is a subclass of Astronomical_object! But did you know that a Star_system is also a child astronomical body of a Planet? And it's different from a Planetary_system! 🚀 #Astronomy #Space #Planets"
